               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080685,            0.023562,            0.021329,             0.49763,             0.40852,             0.41403,             0.19836,            0.054368,            0.011089,           0.0085869,            0.070217,           0.0033092,           0.0033092
                   1,            0.054229,            0.019192,           0.0092661,             0.44562,              0.4974,             0.44343,             0.21805,            0.047706,           0.0097698,           0.0077986,            0.040086,            0.006511,            0.006511
                   2,            0.050691,             0.01889,           0.0086028,             0.40956,             0.40157,             0.32392,             0.12136,            0.052108,            0.010133,            0.014678,           0.0098223,           0.0095808,           0.0095808
                   3,            0.050056,            0.019082,           0.0091063,              0.5314,             0.38704,             0.37572,              0.1767,            0.056017,            0.011919,             0.01927,            0.009406,            0.009406,            0.009406
                   4,            0.048294,            0.018604,           0.0084759,             0.64439,              0.4157,             0.46805,             0.21048,             0.04913,             0.01121,           0.0084018,            0.009406,            0.009406,            0.009406
                   5,            0.046723,            0.018521,           0.0083211,             0.77067,             0.58399,             0.67112,             0.33514,            0.044692,           0.0092299,           0.0039785,            0.009208,            0.009208,            0.009208
                   6,            0.044794,            0.017832,           0.0068808,             0.75532,             0.59681,              0.6694,             0.34779,            0.040084,           0.0099552,           0.0096367,             0.00901,             0.00901,             0.00901
                   7,            0.043304,            0.017587,           0.0066219,             0.80218,             0.62739,             0.73949,             0.39173,            0.040005,           0.0099369,            0.004735,            0.008812,            0.008812,            0.008812
                   8,            0.041572,            0.017205,            0.006173,              0.7886,             0.64296,              0.7428,             0.40545,            0.036636,            0.011036,           0.0045418,            0.008614,            0.008614,            0.008614
                   9,            0.041131,            0.017029,           0.0056514,              0.7722,             0.72278,              0.7881,             0.44695,            0.035126,           0.0085088,           0.0026235,            0.008416,            0.008416,            0.008416
                  10,            0.040309,            0.016855,           0.0055388,             0.80412,             0.68737,             0.79752,             0.46862,            0.034641,           0.0081741,           0.0045724,            0.008218,            0.008218,            0.008218
                  11,            0.039539,            0.016903,           0.0052916,             0.86678,             0.69478,             0.80767,             0.49015,            0.033631,           0.0084257,            0.005531,             0.00802,             0.00802,             0.00802
                  12,            0.038432,            0.016568,            0.004947,             0.84477,             0.74287,             0.83251,             0.50331,            0.035309,            0.008081,           0.0074434,            0.007822,            0.007822,            0.007822
                  13,            0.037813,            0.015819,           0.0042041,             0.84307,             0.75103,             0.84817,             0.51427,            0.034021,           0.0076836,           0.0032476,            0.007624,            0.007624,            0.007624
                  14,            0.037064,            0.015918,           0.0039467,             0.86621,             0.72694,             0.85182,             0.51342,            0.031486,            0.007802,           0.0031073,            0.007426,            0.007426,            0.007426
                  15,            0.036044,             0.01519,           0.0036973,             0.83291,             0.76676,             0.85057,             0.52145,            0.033136,           0.0076759,           0.0038303,            0.007228,            0.007228,            0.007228
                  16,            0.036111,            0.015804,           0.0036612,             0.82249,             0.76227,             0.85496,             0.52292,            0.032814,           0.0078217,           0.0047373,             0.00703,             0.00703,             0.00703
                  17,            0.035352,            0.015229,           0.0036536,             0.79607,             0.70789,             0.81821,             0.48578,            0.033042,           0.0083801,           0.0083244,            0.006832,            0.006832,            0.006832
                  18,            0.035506,            0.015545,           0.0036881,             0.80022,             0.80262,             0.86033,             0.54358,            0.030991,           0.0074886,           0.0043156,            0.006634,            0.006634,            0.006634
                  19,            0.034626,            0.015089,           0.0037701,             0.81697,             0.77877,             0.85757,             0.54106,            0.032114,            0.007386,           0.0085496,            0.006436,            0.006436,            0.006436
                  20,            0.034553,            0.015063,           0.0029479,             0.77469,             0.75859,             0.80075,              0.4693,            0.030846,           0.0081666,           0.0061095,            0.006238,            0.006238,            0.006238
                  21,            0.033198,            0.014911,           0.0029885,             0.86861,             0.78083,             0.88997,             0.58016,            0.031328,           0.0072183,           0.0066453,             0.00604,             0.00604,             0.00604
                  22,            0.033525,            0.014634,           0.0029794,             0.81936,             0.79546,             0.85706,             0.57513,            0.029992,           0.0073292,           0.0046043,            0.005842,            0.005842,            0.005842
                  23,             0.03261,            0.014659,           0.0032711,             0.87569,             0.77711,              0.8848,              0.5557,            0.030396,           0.0067535,           0.0043046,            0.005644,            0.005644,            0.005644
                  24,            0.031937,            0.014262,           0.0027128,             0.81357,             0.79528,             0.86786,             0.57484,            0.030032,           0.0072489,           0.0044532,            0.005446,            0.005446,            0.005446
                  25,            0.031584,            0.014026,            0.002827,             0.85846,             0.80828,             0.88729,             0.59759,            0.030495,            0.007126,           0.0021954,            0.005248,            0.005248,            0.005248
                  26,            0.032189,            0.014083,           0.0028934,             0.85321,               0.799,             0.88162,              0.5693,            0.030196,           0.0075884,           0.0056334,             0.00505,             0.00505,             0.00505
                  27,            0.030993,            0.013936,           0.0027776,             0.86165,             0.82399,             0.91081,             0.60343,            0.029477,           0.0075486,           0.0060041,            0.004852,            0.004852,            0.004852
                  28,            0.030638,            0.013925,            0.002348,             0.88885,             0.82127,             0.90233,             0.60103,            0.029637,           0.0076177,           0.0060256,            0.004654,            0.004654,            0.004654
                  29,            0.030801,             0.01371,           0.0023885,             0.84217,             0.83215,             0.90188,             0.60592,            0.028425,           0.0073363,           0.0058633,            0.004456,            0.004456,            0.004456
                  30,             0.02979,            0.013784,           0.0024037,             0.86585,             0.83417,             0.91092,             0.61138,            0.030468,            0.007276,           0.0027473,            0.004258,            0.004258,            0.004258
                  31,            0.029821,            0.013424,           0.0022925,             0.84706,             0.85342,             0.90836,             0.60019,            0.029359,            0.007164,           0.0072383,             0.00406,             0.00406,             0.00406
                  32,            0.029569,            0.013263,           0.0021936,             0.91055,             0.81545,             0.90351,             0.62398,             0.02954,           0.0067966,           0.0074006,            0.003862,            0.003862,            0.003862
                  33,            0.029117,             0.01325,           0.0020534,             0.85372,             0.86333,             0.90409,             0.61718,            0.029182,           0.0070292,           0.0064513,            0.003664,            0.003664,            0.003664
