               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078415,            0.023409,            0.021013,             0.53954,              0.4592,             0.48846,             0.23578,            0.048724,            0.010414,           0.0090518,            0.070109,           0.0033213,           0.0033213
                   1,            0.054764,            0.019472,             0.01024,             0.59965,              0.5263,             0.57143,             0.27745,            0.044842,           0.0088767,           0.0065522,            0.039779,           0.0063252,           0.0063252
                   2,            0.051023,            0.019103,           0.0092991,             0.56507,             0.51477,             0.49909,             0.23024,            0.047513,           0.0085949,           0.0070841,           0.0091199,           0.0089991,           0.0089991
                   3,            0.049373,            0.019128,           0.0088592,             0.61596,             0.56824,             0.59298,             0.28113,            0.042677,           0.0090988,           0.0063544,            0.008515,            0.008515,            0.008515
                   4,            0.047887,            0.018704,           0.0086137,             0.69258,             0.55305,             0.62209,             0.33071,            0.043272,           0.0087686,           0.0059222,            0.008515,            0.008515,            0.008515
                   5,            0.045702,            0.018533,           0.0080133,             0.76727,             0.67573,              0.7359,             0.39231,            0.039344,           0.0078342,           0.0031629,             0.00802,             0.00802,             0.00802
                   6,            0.044045,            0.017801,           0.0071504,             0.82496,             0.60454,             0.73292,             0.39122,            0.038114,           0.0082047,           0.0074488,            0.007525,            0.007525,            0.007525
                   7,            0.042215,            0.017514,           0.0067682,             0.74378,              0.6575,             0.72999,             0.40367,            0.038169,           0.0079245,           0.0045617,             0.00703,             0.00703,             0.00703
                   8,            0.041401,            0.017139,           0.0062236,               0.774,             0.71516,             0.79313,             0.45509,            0.034199,           0.0074488,           0.0028578,            0.006535,            0.006535,            0.006535
                   9,            0.039576,            0.016583,           0.0050888,             0.85619,             0.74718,             0.85641,              0.5215,            0.034119,           0.0072956,           0.0025568,             0.00604,             0.00604,             0.00604
                  10,             0.03856,            0.016424,           0.0049603,             0.87418,              0.7463,             0.86105,             0.50905,            0.033559,           0.0072036,           0.0026458,            0.005545,            0.005545,            0.005545
                  11,            0.037457,            0.016201,           0.0044732,             0.83099,             0.80333,             0.86555,              0.5378,            0.031764,           0.0066964,           0.0042151,             0.00505,             0.00505,             0.00505
                  12,            0.036295,            0.016054,           0.0041024,             0.89075,              0.7937,             0.87777,             0.54225,            0.031074,           0.0065802,           0.0013649,            0.004555,            0.004555,            0.004555
                  13,            0.034964,            0.015342,           0.0038119,             0.87037,             0.80098,             0.88296,             0.54605,            0.031264,           0.0063914,           0.0015386,             0.00406,             0.00406,             0.00406
                  14,            0.034464,            0.015195,           0.0034266,             0.86343,              0.8313,             0.89958,             0.57916,            0.030632,           0.0061854,           0.0019658,            0.003565,            0.003565,            0.003565
                  15,            0.033504,            0.014598,           0.0031412,             0.84014,             0.83516,             0.88453,             0.55874,            0.030321,           0.0064867,            0.001821,             0.00307,             0.00307,             0.00307
                  16,            0.032822,             0.01504,            0.002913,             0.88938,             0.80531,             0.90589,             0.60851,            0.028809,           0.0059428,           0.0021881,            0.002575,            0.002575,            0.002575
                  17,            0.031742,            0.014137,           0.0030215,             0.85511,             0.84247,             0.92149,              0.5954,            0.029208,           0.0060669,           0.0027625,             0.00208,             0.00208,             0.00208
                  18,            0.031868,            0.014557,           0.0028728,             0.90649,             0.81658,             0.91803,             0.61576,             0.02895,           0.0062031,           0.0023202,            0.001585,            0.001585,            0.001585
                  19,            0.029828,            0.013814,            0.002474,             0.86878,             0.85574,              0.9199,             0.62062,            0.029152,           0.0060827,           0.0029417,             0.00109,             0.00109,             0.00109
